id,name,team,team_abbr,position
KamaAl00,Alvin Kamara,New Orleans Saints,NOR,RB
WilsRu00,Russell Wilson,Seattle Seahawks,SEA,QB
CookDa01,Dalvin Cook,Minnesota Vikings,MIN,RB
MahoPa00,Patrick Mahomes,Kansas City Chiefs,KAN,QB
PresDa01,Dak Prescott,Dallas Cowboys,DAL,QB
MetcDK00,D.K. Metcalf,Seattle Seahawks,SEA,WR
ElliEz00,Ezekiel Elliott,Dallas Cowboys,DAL,RB
JoneAa00,Aaron Jones,Green Bay Packers,GNB,RB
ThieAd00,Adam Thielen,Minnesota Vikings,MIN,WR
MurrKy00,Kyler Murray,Arizona Cardinals,ARI,QB
RidlCa00,Calvin Ridley,Atlanta Falcons,ATL,WR
HillTy00,Tyreek Hill,Kansas City Chiefs,KAN,WR
CarsCh00,Chris Carson,Seattle Seahawks,SEA,RB
HuntKa00,Kareem Hunt,Cleveland Browns,CLE,RB
JacoJo01,Josh Jacobs,Las Vegas Raiders,LVR,RB
KelcTr00,Travis Kelce,Kansas City Chiefs,KAN,TE
HopkDe00,DeAndre Hopkins,Arizona Cardinals,ARI,WR
AlleJo02,Josh Allen,Buffalo Bills,BUF,QB
EvanMi00,Mike Evans,Tampa Bay Buccaneers,TAM,WR
BeckOd00,Odell Beckham Jr.,Cleveland Browns,CLE,WR
GurlTo01,Todd Gurley,Atlanta Falcons,ATL,RB
AndrMa00,Mark Andrews,Baltimore Ravens,BAL,TE
LockTy00,Tyler Lockett,Seattle Seahawks,SEA,WR
ClayCh01,Chase Claypool,Pittsburgh Steelers,PIT,WR
RobiJa00,James Robinson,Jacksonville Jaguars,JAX,RB
LambCe00,CeeDee Lamb,Dallas Cowboys,DAL,WR
MixoJo00,Joe Mixon,Cincinnati Bengals,CIN,RB
AndeRo04,Robby Anderson,Carolina Panthers,CAR,WR
WoodRo02,Robert Woods,Los Angeles Rams,LAR,WR
RobiAl02,Allen Robinson,Chicago Bears,CHI,WR
TonyRo00,Robert Tonyan,Green Bay Packers,GNB,TE
DiggSt00,Stefon Diggs,Buffalo Bills,BUF,WR
FullWi01,Will Fuller,Houston Texans,HOU,WR
